filename, language, JSON, JavaScript, comment, blank, total
card\card.js, JavaScript, 0, 26, 28, 17, 71
card\card.json, JSON, 3, 0, 0, 0, 3
culture\culture.js, JavaScript, 0, 26, 28, 17, 71
culture\culture.json, JSON, 3, 0, 0, 0, 3
customer-info\customer-info.js, JavaScript, 0, 26, 28, 17, 71
customer-info\customer-info.json, JSON, 3, 0, 0, 0, 3
dashangjishi\dashangjishi.js, JavaScript, 0, 26, 28, 17, 71
dashangjishi\dashangjishi.json, JSON, 3, 0, 0, 0, 3
dingdanxiangqing\dingdanxiangqing.js, JavaScript, 0, 27, 28, 17, 72
dingdanxiangqing\dingdanxiangqing.json, JSON, 3, 0, 0, 0, 3
getphone\getphone.js, JavaScript, 0, 79, 32, 17, 128
getphone\getphone.json, JSON, 3, 0, 0, 0, 3
history-tip\history-tip.js, JavaScript, 0, 26, 28, 17, 71
history-tip\history-tip.json, JSON, 3, 0, 0, 0, 3
index\index.js, JavaScript, 0, 372, 24, 4, 400
index\index.json, JSON, 20, 0, 0, 0, 20
jishiyuyue\jishiyuyue.js, JavaScript, 0, 27, 28, 16, 71
jishiyuyue\jishiyuyue.json, JSON, 3, 0, 0, 0, 3
many\many.js, JavaScript, 0, 29, 28, 16, 73
many\many.json, JSON, 3, 0, 0, 0, 3
my\my.js, JavaScript, 0, 31, 28, 16, 75
my\my.json, JSON, 3, 0, 0, 0, 3
nopay_order\nopay_order.js, JavaScript, 0, 26, 28, 17, 71
nopay_order\nopay_order.json, JSON, 3, 0, 0, 0, 3
order\order.js, JavaScript, 0, 33, 28, 15, 76
order\order.json, JSON, 3, 0, 0, 0, 3
pay\pay.js, JavaScript, 0, 438, 85, 38, 561
pay\pay.json, JSON, 3, 0, 0, 0, 3
recharge-record\recharge-record.js, JavaScript, 0, 26, 28, 17, 71
recharge-record\recharge-record.json, JSON, 3, 0, 0, 0, 3
recharge\recharge.js, JavaScript, 0, 26, 28, 17, 71
recharge\recharge.json, JSON, 3, 0, 0, 0, 3
tea\tea.js, JavaScript, 0, 28, 28, 16, 72
tea\tea.json, JSON, 3, 0, 0, 0, 3
welcome\welcome.js, JavaScript, 0, 85, 27, 16, 128
welcome\welcome.json, JSON, 3, 0, 0, 0, 3
yuyueStatus\yuyueStatus.js, JavaScript, 0, 27, 28, 17, 72
yuyueStatus\yuyueStatus.json, JSON, 3, 0, 0, 0, 3
Total, -, 74, 1384, 588, 324, 2370
